DemiEngine runtime profile
scope,total_ms,max_ms,calls,bytes
Frame.total,29966.723,11.559,35076,0
Render.total,25998.264,11.434,35076,0
Render.frame,25962.934,11.433,35076,0
Renderer3D.draw_world,17447.852,4.184,35076,0
Renderer3D.draw_shape,5590.060,0.599,197383,0
Renderer3D.end_frame,4438.141,10.563,35076,0
Frame.update,3632.486,3.913,35076,0
Runtime.step_simulation,3595.490,3.912,35076,0
Renderer3D.draw_hud,2909.495,0.577,35076,0
Lua.update,2168.796,0.532,35076,0
LuaScriptHost.update,2130.964,0.531,35076,0
Lua.on_update,1676.784,0.492,35076,0
Asset.renderer_load,1508.584,1508.584,1,0
Renderer3D.load_texture_assets,1508.571,1508.571,1,0
Renderer3D.build_batches,788.261,0.301,35076,0
Physics3D.step,576.420,2.718,1831,0
Renderer3D.begin_frame,535.946,2.367,35076,0
Renderer3D.frustum_cull,496.144,0.218,253482,0
Renderer3D.draw_model,412.883,0.662,32411,0
Asset.audio_load,352.822,352.822,1,0
Renderer3D.load_model_texture,239.570,239.570,1,0
Lua.dispatch_hud_events,194.748,0.227,35076,0
Physics3D.simulate,194.552,0.329,1831,0
AnimationCollision2D.update,108.875,0.068,35076,0
Camera2D.update,93.090,0.033,35076,0
AnimationStateMachine.update,86.833,0.396,35076,0
Physics3D.character_update,84.370,0.195,1831,0
Asset.registry_load,61.889,61.889,1,0
Lua.fixed_update,61.817,0.310,1831,0
SpriteAnimation2D.update,61.403,0.036,35076,0
LuaScriptHost.fixed_update,59.750,0.309,1831,0
Audio.update,57.224,0.060,35076,0
Lua.on_fixed_update,55.811,0.307,1831,0
Physics2D.step,26.271,0.043,1831,0
Renderer3D.load_model_asset,15.301,15.301,1,0
Network.update,11.734,0.020,35076,0
Lua.dispatch_physics_events,10.522,0.239,35076,0
Lua.update_timers,9.557,0.028,35076,0
Lua.dispatch_animation_events,6.046,0.018,35076,0
Lua.dispatch_animation_collision_events,3.991,0.028,35076,0
Media.update,2.335,0.010,35076,0
Physics3D.create_shape,0.118,0.012,32,0
Renderer3D.load_texture_from_image,0.052,0.052,1,0
Asset.media_load,0.001,0.001,1,0
Renderer3D.material_batch,0.000,0.000,168511,0
