DemiEngine runtime profile
scope,total_ms,max_ms,calls,bytes,gauge
Frame.total,87948.121,69.273,3466,0,
Render.total,68506.502,51.265,3466,0,
Render.frame,68498.400,51.263,3466,0,
Renderer3D.draw_world,64614.478,27.004,3909,0,
Frame.update,19210.754,46.261,3466,0,
Runtime.step_simulation,19203.799,46.258,3466,0,
Lua.update,16566.278,45.470,3466,0,
LuaScriptHost.update,16557.414,45.467,3466,0,
Lua.on_update,16325.563,44.590,13864,0,
Renderer3D.dynamic_model_lookup,7357.197,1.663,384720,0,
Renderer3D.draw_model,2190.472,0.181,384720,0,
Renderer3D.frustum_cull,1919.970,0.091,912089,0,
Physics3D.step,1439.239,3.461,5310,0,
Renderer3D.build_batches,1261.638,1.794,3909,0,
Renderer3D.draw_hud,1159.448,0.655,3466,0,
Renderer3D.end_frame,956.200,1.575,3466,0,
Renderer3D.end_camera,908.427,7.254,3909,0,
Physics2D.step,582.505,0.431,5310,0,
Renderer3D.dynamic_mesh_upload_total,267.617,1.624,676,0,
Renderer3D.begin_camera,259.493,2.983,3909,0,
Renderer3D.begin_frame,251.165,3.572,3466,0,
Camera2D.update,182.171,0.191,3466,0,
Renderer3D.dynamic_mesh_cpu_pack,152.578,0.798,676,161572800,
ProceduralMesh.apply,152.352,0.938,676,0,
AnimationCollision2D.update,148.640,0.110,3466,0,
Renderer3D.dynamic_mesh_vram_upload,111.254,0.941,676,0,
Lua.dispatch_hud_events,106.590,0.086,3466,0,
Physics3D.simulate,90.165,0.198,5310,0,
SpriteAnimation2D.update,76.971,0.071,3466,0,
AnimationStateMachine.update,75.448,0.067,3466,0,
Renderer3D.present_cached_camera,51.636,0.046,3023,0,
Lua.fixed_update,43.488,0.041,5310,0,
LuaScriptHost.fixed_update,36.572,0.039,5310,0,
Renderer3D.draw_shape,18.666,0.158,6680,0,
Lua.on_fixed_update,9.721,0.011,21240,0,
Audio.update,7.197,0.017,3466,0,
Asset.renderer_load,5.401,5.401,1,0,
Renderer3D.load_texture_assets,5.385,5.385,1,0,
Renderer3D.load_texture_file,4.216,2.061,3,0,
Network.update,3.501,0.013,3466,0,
Asset.registry_load,1.834,1.834,1,0,
Lua.dispatch_physics_events,1.463,0.012,3466,0,
Lua.update_timers,1.449,0.011,3466,0,
Lua.dispatch_animation_events,1.308,0.008,3466,0,
Renderer3D.load_model_from_mesh,0.627,0.005,676,0,
Media.update,0.562,0.001,3466,0,
Lua.dispatch_animation_collision_events,0.483,0.011,3466,0,
Asset.audio_load,0.003,0.003,1,0,
Asset.media_load,0.001,0.001,1,0,
Renderer3D.stats.batches,0.000,0.000,0,0,2.000
Renderer3D.stats.shadow_passes,0.000,0.000,0,0,1.000
Renderer3D.stats.lights,0.000,0.000,0,0,2.000
Renderer3D.material_batch,0.000,0.000,8684,0,
Renderer3D.stats.render_target_bytes,0.000,0.000,0,0,18907136.000
Renderer3D.stats.triangles,0.000,0.000,0,0,258240.000
Renderer3D.stats.particles,0.000,0.000,0,0,117.000
ProceduralMesh.apply.copy_to_component,0.000,0.000,0,161572800,
